PART NO,DESCRIPTION,MRP-Effective April 2022
DE006854,OIL_COOLER_HORIZONTAL,7358
DE006856,"HALF ENGINE ASSY FOR S440 ENGINE TO LIST NO: 6155 (HALF ENGINE CONSISTS OF CYLINDER BLOCK ASSY, PISTON, PISTON RINGS,CONN ROD,CRANK SHAFT & BEARINGS)",238140
DE006865,"LONG BLOCK - SJ327TAA (G) ENGINE FOR CUMMINS APPLICATION TO LIST NO.1444 (WITHOUT FUEL INJECTION EQUIPMENTS,STARTER MOTOR,ALTERNATOR,FLYWHEEL,FLYWHEEL HOUSING AND RELATED FASTENERS).",314212
DE006866,"LONG BLOCK - SJ327TAA/CPCB II ENGINE FOR CUMMINS APPLICATION TO LIST NO.1460 (WITHOUT FUEL INJECTION EQUIPMENTS,STARTER MOTOR,ALTERNATOR,FLYWHEEL,FLYWHEEL HOUSING AND RELATED FASTENERS).",314212
DE006887,MD1CS162_ECU,15664
DE006899,"HALF ENGINE ASSEMBLY FOR TREM III S325 ENGINE TO LIST NO.3267-TAFE (CONSIST OF CYL.BLOCK, BEARINGS, CON.ROD, PISTON, RINGS, REAR END OIL SEAL AND JOINT)",132026
DE006904,"HALF ENGINE ASSY FOR TSJ327 ENGINE TO LIST NO:4100 (HALF ENGINE CONSISTS OF CYLINDER BLOCK ASSY,PISTON,PISTON RINGS,CONNECTING ROD,CRANKSHAFT,BEARINGS,REAR END OIL SEAL,JOINT&BOLTS)",160460
DE006906,WIRING_HARNESS_SJV436_KION_FORK_LIFT,21665
DE006932,EGR_COOLER (10kW FIN TYPE),18700
DE006938,EAT ASSEMBLY - DOC (CABIN APPLICATION),76350
DE006939,VEHICLE_WIRING_HARNESS,15400
DE006950,EATS_ASSEMBLY_DOC,26400
DE006975,UNITISED SEAL KACO,2240
DE006978,"HALF ENGINE ASSY FOR TIER4-CRDI SJV326 ENGINE TO LIST NO:7230 (HALF ENGINE CONSISTS OF CYLINDER BLOCK ASSY,PISTON,PISTON RINGS,GUDGEON PIN,CIRCLIP,CONNECTING ROD,CRANKSHAFT,DOWEL,BEARINGS,PLATE,JOINT&BOLTS)",163545
DE006982,AIR_FILTER_ELEMENT_INNER,1363
DE006983,AIR_FILTER_ELEMENT_OUTER,2077
DE006992,EATS_ASSEMBLY_DOC,35695
DE009524,ENGINE.O.H.KIT SJ436(with 3002),28335
DE009525,E.O.KIT -S2 NON-CPCB,10846
DE009526,E.O. KIT-S3 NON-CPCB,15532
DE009527,E.O. KIT - S4NON-CPCB,18670
DE009528,E.O.KIT-S2 CPCB,9978
DE009529,E.O.KIT-S3 CPCB,14228
DE009583,E.O. KIT S433 ENGINE TR III(9369+107),16419
DE009584,ENGINE O.H.KIT TSJ436I(with 4322),26975
DE009585,E.O.KIT  FOR S433-BSII ENGINE,30328
DE009586,E.O.H.KIT S433 (1106+9614),21433
DE009596,ENGINE O..KIT (S3-TREM III-50+3017+322),14881
DE009601,E.O.KIT - S440 EURO II CATER PILLAR,31629
DE009606,E.O.H.KIT S433 GODREJ BS III,26314
DE009608,E. O. H. KIT S433 (577/578/1011/1681),16920
DE009610,INTEGRATED SUMP GASKET KIT S3,662
DE009611,INTEGRATED SUMP GASKET KIT SJ3,676
DE009614,PISTON RINGS ASSEMBLY S2/S325/S433 TR II & TR iii,523
DE009615,C.R.BOLT & NUT KIT P3,382
DE009616,STUD & NUT KIT (S3-Nozzle),141
DE009617,NOZZLE STUD & NUT KIT S3 (NEW),71
DE009618,CYL.HEAD BOLT KIT P3,641
DE009619,EXH.MANIFOLD STUD KIT S3,90
DE009620,C.R.BOLT & NUT KIT S3,344
DE009629,ELEMENT for 9613 AIR CLEANER-3Stage,429
DE009636,VALVE SET-S3 (1011+1681)-(TRACTOR PARTS),1282
DE009637,VALVE SET-S4 (1011+1681)-(TRACTOR PARTS),1709
DE009639,RADIATOR-ACE/ECEL HYDRA CRANE,10827
DE009644,RADIATOR-NHI/CNH TRACTOR(3030/3032),8353
DE009645,RADIATOR-SONALIKA 740DI TRACTOR,8207
DE009649,RADIATOR FOR VOLTAS FORKLIFT,16392
DE009650,SIMPSON GENUINE ENGINE OIL API CI4/SL SAE 10W-30 (20 X 1),475
DE009651,SIMPSON GENUINE ENGINE OIL API CI4/SL SAE 10W-30 (6 X 3.5),1540
DE009652,SIMPSON GENUINE ENGINE OIL API CI4/SL SAE 10W-30 (2 X 7.5),3450
DE009653,SIMPSON GENUINE ENGINE OIL API CI4/SL SAE 10W-30 (2 X 8.5),3970
DE009654,SIMPSON GENUINE ENGINE OIL API CI4/SL SAE 10W-30 (2 X 10),4455
DE009660,GREASE 0.5 kg cream color,309
DE009661,GREASE - 1 KG cream color,566
DE009662,SIMPSON GENUINE ENGINE OIL API CI4/SL SAE 10W-30 (1 X 210),79350
DE009663,HYDRAULIC OIL AW 68 (1 X 20),5750
DE009664,HYDRAULIC OIL AW 68 (1 X 26),7095
DE009665,HYDRAULIC OIL AW 68 (1 X 210),63800
DE009670,FASTNERS KIT(480 to 68128),2763
DE009671,SIMPSON GEAR OIL 80W-90 (1 X 20),7370
DE009672,SIMPSON GEAR OIL 80W-90 (1 X 26),9680
DE009673,SIMPSON GEAR OIL 80W-90 (1 X 50),18040
DE009674,SIMPSON GEAR OIL 80W-90 (1 X 210),74800
DE009675,HYDRAULIC OIL AW 68 (1 X 50),15620
DE009676,Radiator MF 1035 STD - P3 tractor,10788
DE009677,Radiator MASSEY FERGUSEN  TAFE J SERIES BIG (W F S G),9379
DE009683,E.O.KIT S433 -TR III 9369/99107/S/M valve,16505
DE009808,S3 MAJOR GASKET,1142
DE009810,GASKET KIT S3W/O HEAD GASKET(With rubberised tappet cover joint),435
DE009814,P3 ROCKER SHAFT ASSEMBLY WITH NEW PIPE,2974
DE009815,P4 ROCKER SHAFT ASSEMBLY WITH NEW PIPE,3130
DE009870,3 STAGE AIR CLEANER with closed loop breather adopter,3005
DE009875,JOINTS AND GASKET KIT FOR S3 W/O SUMP GASKET,1294
DE009908,Oil Filter ELEMENT (J300 893) Backhoe Loader,1027
DE009909,Air Fitter Element-335/C1280,1363
DE009910,Fuel Filter Element-320/A7088 -Glossy Black,1363
DE009911,Fuel Filter Element-320/A7170 -Silver Colour,1275
DE009913,GREASE - 2 KG cream color,1113
DE009914,GREASE - 3 KG cream color,1643
DE009915,GREASE - 5 KG cream color,2722
DE009916,GREASE - 18 KG cream color,9624
DE009917,GREASE - 180 KG cream color,113521
DE009918,O-RING for Air cleaner to pn:DE009613,51
DE009919,STRAINER for Air cleaner to pn:DE009613,332
DE009920,Lube Oil Filter J04134,728
DE009921,ROTAVATOR BLADE FASTNERS KIT,1600
DE009922,Hydraulic couplers-1/8 BSPT thread(HC/11/4/B),122
DE009923,"Grease gun hose1/8""BSPT thread,blast pressure upto 10000 PSI(GHC-12/B)",234
DE009924,6 Kg greasing bucket with 1 meter hose w/o wheels(X/6A),6689
DE009925,500 Ml oil can with rigid spout(V500/R),347
DE009926,"Lever action barrel pump,300 ml per stroke(50/210 ltrs barrel)-LBP/04/PT",2134
DE009927,Downstroke pump suitable for 20-25 ltrs drums-EZF/DS/20,2256
DE009928,Upstroke pump suitable for 50 ltrs drums(EZF/DS/20),1581
DE009929,Rotary barrel pump(inlet 1 & outlet 3/4(50-210 ltrs durms)V10,2915
DE009930,6 kg greasing bucket with 1 meter hose with wheels,7191
DE009931,10 kg greasing bucket with 2 meter w/o wheels(X/10A),7358
DE009932,10 kg greasing bucket with 2 meter hose with wheels(X/10),7859
DE009942,CYLINDER HEAD ASSEMBLY FOR IMT M33 TRACTOR(99DE1219 LESS CC CAP),23110
DE009943,CYLINDER HEAD ASSEMBLY FOR IMT 033 TRACTOR(99DE1240 LESS CC CAP),23110
DE009944,E.O.KIT - S440/ST440 @ 2200 RPM FOR TAFE (PIS:63DE0099),29968
DE009945,E.O.KIT - S433/TREM II @ 2300 RPM FOR TAFE-LIST 1313 (PIS:63DE0089),20571
DE009946,E.O.KIT - ST440 @ 2050 RPM TO LIST 6159 (PIS:63DE0091 & 92),29873
DE009954,JCB FILTER KIT(DE009910+9911+9920),3159
DE009980,GREASE - 100 GM cream color,76
DE009981,GREASE - 200 GM cream color,140
DE009982,GREASE - 7 KG cream color,4245
DE009983,GREASE - 500 GM RED GEL,415
DE009984,GREASE - 1 KG RED GEL,771
DE009985,GREASE - 2 KG RED GEL,1517
DE009986,GREASE - 3 KG RED GEL,2256
DE009987,GREASE - 5 KG RED GEL,3739
DE009988,GREASE - 7 KG RED GEL,5268
DE009989,GREASE - 10 KG RED GEL,7311
DE009990,GREASE - 18 KG RED GEL,11372
DE009991,GREASE - 180 KG RED GEL,113511
DE009994,"TIPPER HOSE R2 I.D-1/2""W.P 3500 PSI 1/2 METER",462
DE009995,"TIPPER HOSE R2 I.D-1/2""W.P 3500 PSI 1 METER",690
DE009996,"TIPPER HOSE R2 I.D-1/2""W.P 3500 PSI 1.25 METER",804
DE009997,"TIPPER HOSE R2 I.D-1/2""W.P 3500 PSI 1.5 METER",900
DE009998,ELEMENT FOR AIR CLEANER TO PART NO.DE006554,1753
DE009999,ELEMENT FOR AIR CLEANER TO PART NO.DE006200,676
DE00M685,SIMPSON GASKET SEALANT (50 gm )Red,153
DE05104A,AIR CLEANER(S3),1857
DE05238R,MAJOR GASKET KIT S3-OLD with 49S30133,1059
DE05274A,MAIN BRG. AD3/152 .010,1088
DE05274B,MAIN BRG. AD3/152 .020,1088
DE05274C,MAIN BRG. AD3/152 .030,1088
DE05275A,M.BEARING .010 S4,1330
DE05340A,INNER & OUTER ELEMENT (FOR DE005288),1671
DE05538N,WATER PUMP REPAIR KIT -S4 HP (NEW),861
DE05555A,JOINTS KIT MAJOR FOR ESCORTS JCB(1000 SERIES),3375
DE05556A,JOINTS  AND  GASKETS- TOP SERVICE KIT  FOR ESCORTS JCB(1000 SERIES),798
DE05557A,JOINTS AND GASKET- BOTTOM SERVICE KIT FOR ESCORTS JCB(1000 SERIES),2947
DE05558A,MAJOR GASKET KIT- CATERPILLAR,3625
DE05559A,KIT JOINTS-TOP SERVICE FOR 1004.4 NA ENGINE,544
DE05560A,KIT JOINTS BOTTOM SERVICE FOR 1004.4 NA ENGINE,1618
DE05582M,MECHANIC KIT S325 SHIM,8444
DE05584N,P3 ENGINE OVERHAUL KIT - NEW,10193
DE05587A,CLAMP ATOMISER HOLDER(MICO PART),102
DE05588A,MF 241 ALFIN REBORER KIT,12197
DE05616A,NOZZLE-VCO TYPE(MICO NO.B 433 379 972),2826
DE05755C,JOINTS AND GASKET KIT MAJOR FOR S3 CUMMINS,1443
DE05756C,S3 Minor Jt&Gasket KIT(less sump kit of 5755),1740
DE05757A,SUMP KIT JOINT S3,94
DE05848A,ENGINE OVERHAUL KIT FOR P4 ENGINE (SHIM),12805
DE05871A,HOSE KIT P3,783
DE05872A,HOSE KIT DI,852
DE05873A,HOSE PIPE KIT 241,968
DE090030,ROCKER SHAFT ASSY S440 (EXPORT MODEL),6296
DE0M685W,SIMPSON GASKET SEALANT (50 gm )White,153
DE0VJBH2,E.O.KIT-S4-S/M valve(9369/99107+100WP),22593
DE11RLK703,Clutch Lever Kit (Minor-VF)-Tractor Part,1953
DE11RLK770,LEVER KIT(MINOR-ACE)TRACTOR PART,2089
DE11RSK140,Clutch Spring Kit-VF (Tractor Part),473
DE5238LH,GASKET KIT S3 W/O HEAD GASKET,414
DE5581AR,REBORER KIT S324 SHIM,9248
DE9682T3,E.O.KIT S325 - Trem III - (Single metal valve),12147
DEARSK4430,Clutch Driven Plate -Tractor Part(ACE),5151
DEARSK5122,"11""  Clutch Cover - Escorts Tractor appl",5909
DEG09737,SIMPSON GEAR OIL 80W-90 (4 X 5),1870
DEG09762,SIMPSON GEAR OIL EP-90 (1 X 26),9900
DEG09763,SIMPSON GEAR OIL EP-90 (2 X 10),3960
DEG09772,SIMPSON GEAR OIL 80W-90 (20 X 1),410
DEG09775,SIMPSON GEAR OIL EP-90 (1 X 210),77000
DEG09776,SIMPSON GEAR OIL EP-90 (1 X 50),18975
DEG09777,SIMPSON GEAR OIL EP-90 (1 X 20),7425
DEG09778,SIMPSON GEAR OIL EP-90 (4 X 5),1925
DEG09779,SIMPSON GEAR OIL EP-90 (20 X 1),420
DEG09826,SIMPSON GEAR OIL EP-140 (1 X 20),7810
DEG09827,SIMPSON GEAR OIL EP-140 (4 X 5),2025
DEG09828,SIMPSON GEAR OIL EP-140 (20 X 1),430
DEG09829,SIMPSON GEAR OIL EP-140 (1 X 210),78100
DEG09830,SIMPSON GEAR OIL GL-5 SAE 85W-140 (1 X 20),8250
DEG09831,SIMPSON GEAR OIL GL-5 SAE 85W-140 (4 X 5),2145
DEG09832,SIMPSON GEAR OIL GL-5 SAE 85W-140 (20 X 1),460
DEGJ5583,E.O.KIT GODREJ FORKLIFT LIST 2702,23963
DEGJ9683,"E.O.KIT GODREJ  -(577/578/101,S/M valve)",23362
DEH09733,HYDRAULIC OIL AW 68 (20 X 1),360
DEH09734,HYDRAULIC OIL AW 68 (4 X 5),1650
DEH09764,SUPERIOR HYDRAULIC OIL AW 68 (1 X 26) Water White-GROUP II,8250
DEH09796,SUPERIOR HYDRAULIC OIL AW 68 (1 X 210) Water White- GROUP II,63800
DEH09797,SUPERIOR HYDRAULIC OIL AW 68 (1 X 50) Water White-GROUP II,15730
DEH09798,SUPERIOR HYDRAULIC OIL AW 68 (1 X 20) Water White-GROUP II,6380
DEH09799,SUPERIOR HYDRAULIC OIL AW 68 (4 X 5) Water White - GROUP II,1675
DEH09800,SUPERIOR HYDRAULIC OIL AW 68(20 X 1) Water White-GROUP II,360
DEH09819,SUPERIOR HYDRAULIC OIL AW 46 (1 X 210) Water White-GROUP II,63800
DEH09821,SUPERIOR HYDRAULIC OIL AW 46 (1 X 26) Water White-GROUP II,7975
DEH09822,HYDRAULIC OIL AW 46 (1 X 26)-GROUP I,7975
DEH09823,HYDRAULIC OIL AW 46 (1 X 210)- GROUP I,63800
DEH09825,HYDRAULIC OIL AW 32 (1 X 210)-GROUP I,62150
DEH09846,SUPERIOR HYDRAULIC OIL AW 32 (1 X 20) Water White-GROUP II,6160
DEH09847,SUPERIOR HYDRAULIC OIL AW 46 (1 X 20) Water White-GROUP II,6160
DEH09851,SIMPSON HYDRAULIC OIL AW 68 (2 X 10),3410
DEH09873,SUPERIOR HYDRAULIC OIL(4 X 5)  AW 46,1595
DEH09874,SUPERIOR HYDRAULIC OIL (4 X 5) AW 32,1485
DEM68525,SIMPSON GASKET SEALANT (25 gm PACK),84
DEM68525W,SIMPSON GASKET SEALANT (25 gm PACK)- WHITE,84
DEMCO404A,FUEL FILTER INSERT 0.5 Ltr CLOTH,140
DEMCO405A,FUEL FILTER INSERT 0.5 Ltr STAR,149
DEMCO407A,FUEL FILTER INSERT 0.5 Ltr COIL,164
DER1100121,Clutch cover assembly for ace crane,5977
DER1100173,CLUTCH COVER ASSY-TRACTORPART(VF),5613
DER11032,Voltas Forklift clutch plate,3486
DER3051202,Pressure plate(ACE) TRACTOR PART,2660
DER51202,"Pressure plate-11""(VF)TRACTOR PART",2660
DESG3002,F.I.P. - SJ3  (MICO NO. F 002 A0Z 245),58463
DESG3003,NOZZLE & HOLDER FUEL INJECTOR ASSEMBLY(MICO NO.F 002 C8Z 858)),4880
DESG3018,ATOMISER AND HOLDER ASSEMBLY(NOZZLES)(SJ327 DOMESTIC 52.5PS (MICO PART NO. F 002 C8Z 857),4798
DESG3019,F.I.P. - SJ3  (MICO NO. F 002 A0Z 269),54811
DESG3020,NOZZLE AND HOLDER FUEL INJECTOR ASSY.-SJ325 DOMESTIC 42.5 PS (MICO NO.F 002 C8Z 866),7282
DESG3023,NOZZLE AND HOLDER FUEL INJECTOR ASSEMBLY(MICO NO.F 002 C8Z 856),4408
DESG3025,F.I.P. -`VE PUMP WITH KSB FOR SJ327 (MICO NO.0460 423 023)                              ),124682
DESG3028,F.I.P. - SJ325 VE WITH KSB- MICO NO.O 460 423 022,136416
DESJ325M,MECHANIC KIT SJ325 - SAMRAT,12284
DESJ325R,REBORER KIT SJ325 SAMRAT,14221
DEUT9668,SIMPSON UTTO (4 X 5),1960
DEUT9735,SIMPSON UTTO (1 X 26),9240
DEUT9769,SIMPSON UTTO (1 X 210),78650
DEUT9770,SIMPSON UTTO (1 X 50),19030
DEUT9810,SIMPSON UTTO (1 X 20),7915
DEUT9811,SIMPSON UTTO (20 X 1),420
DF000003,FILTER INSERT 1.1 LT FUEL FILTER (FELT-BOSCH),194
DF000409,FILTER INSERT,180
DF003406,FUEL FILTER KIT 1.1 LT (DF000003 + DF000409),373
DF034068,FILTER KIT 1.1 LT (02654408 + DF000003 + DF000409),593
DF296KIT,FILTER KIT FOR DELPHI FIP (S SERIES) (1x 02654408 + 2 x DF711296),565
DF711296,CANISTER TYPE DIESEL FILTER INSERT (DELPHI TYPE),168
DG009730,GREASE GUN 175 CC,369
DG009731,GREASE GUN 350cc,503
DG009732,GREASE GUN 500cc,1107
DR009680,Radiator M & M  B275/265/575 DI (SMALL),8053
DR009681,Radiator M & M  B275/265/575 DI (SMALL) WITHOUT S,7225
DR009682,Radiator M & M  B275/265/575 DI (BIG) (WITH SHROU,8489
DR009683,Radiator M & M  B275/265/575 DI (BIG) WITHOUT SHR,7420
DR009684,Radiator  MF 1035 DI BIG (Without Fan Cover & Ston,8720
DR009685,Radiator M & M  B275  OLD MODEL BIG TOP,8449
DR009686,Radiator M & M B-475,8634
DR009687,Radiator M & M ARJUN,9129
DR009688,Radiator M & M 4DI TURBO,9129
DR009689,Radiator MF 1035 DI BIG (With Fan Cover And StoneGuard),9715
DR009690,Radiator MF TAFE BIG (Without Fan Cover And StoneGuard),8690
DR009691,Radiator MF  TAFE BIG (With Fan Cover And StoneGuard),7772
DR009692,Radiator MF  TAFE J SERIES BIG (Without Fan Cover & Stone Guard),9317
DR009693,Radiator MF  TAFE J SERIES BIG (With Fan Cover And StoneGuard),8994
DR009694,Radiator MF  TAFE IMPORTED BIG (Without Fan Cover & Stone Guard),9287
DR009695,Radiator MF  TAFE IMPORTED BIG (With Fan Cover And StoneGuard),10320
DR009696,Radiator SWARAJ 733/735 (SMALL) (Without Fan Cover and Stone Guard),6491
DR009697,Radiator SWARAJ 733/735 (SMALL) (With Fan Cover and Stone Guard),7809
DR009698,Radiator SWARAJ 733/735 (BIG)(Without Fan Cover and Stone Guard),7424
DR009699,Radiator SWARAJ 733/735 (BIG)(With Fan Cover and Stone Guard),8473
DR009700,Radiator NEW HOLLAND  3030/3032,8353
DR009701,Radiator NEW HOLLAND 50 HP,9129
DR009702,Radiator ESCORTS 330/335/345/355 (SMALL),6762
DR009703,Radiator ESCORTS 330/335/345/355 (BIG),7424
DR009704,Radiator POWERTRAC  (SMALL),6762
DR009705,Radiator FARM TRAC (SMALL),7098
DR009706,Radiator POWERTRAC  (BIG),7790
DR009707,Radiator FARM TRAC (BIG),7424
DR009708,Radiator SONALIKA,6762
DR009709,Radiator SONALIKA (BIG) 740 DI (SIMPSON ENGINE),8690
DR009710,Radiator SONALIKA (BIG) 740 DI WFCSG (SIMPSON ENGINE),9004
DR009711,Radiator SONALIKA (BIG) 740 DI (SIMPSON ENGINE),9392
DR009712,Radiator SONALIKA (BIG) 740 DI WFCSG (SIMPSON ENGINE),10447
DR009713,"Radiator SONALIKA (BIG) 760,765 (ITL ENGINE)",8690
DR009714,"Radiator SONALIKA (BIG) 760,765 WFCSG (ITL ENGINE)",9192
DR009715,"Radiator SONALIKA (BIG) 760,765 (ITL ENGINE)",9402
DR009716,"SONALIKA (BIG) 760,765 WFCSG (ITL ENGINE)",10447
DR009717,Radiator JOHN DEERE,10762
DR009718,"Radiator HMT ZETOR  2511, 3511",8690
DR009719,Radiator HMT ZETOR 2511  3511 (With fan Cover and Stone Guard),9715
DR009720,"Radiator HMT ZETOR 2511, 3511, 5911",9392
DR009721,"Radiator HMT ZETOR 2511, 3511, 5911 (With fan Cover and Stone Guard)",10447
DR009722,"Radiator HMT ZETOR 2522, 3522, 4022, 6522",8690
DR009723,"Radiator HMT ZETOR 2522, 3522, 4022, 6522 ( Fan Cover & Stone Guard)",9715
DR009724,"Radiator HMT ZETOR 2522, 3522, 4022, 6522",9402
DR009725,"Radiator HMT ZETOR 2522, 3522, 4022, 6522 ( Fan Cover & Stone Guard)",10447
DR009726,Radiator WHITE WAGON / M&M AGNI / YUVRAJ,4398
DR009727,Radiator JCB 3DX AP,15943
DR009728,Radiator JCB 3DX AP NEW,16614
DR009729,Radiator JCB 4DX AP,17857
E0009655,SIMPSON GENUINE ENGINE OIL API CI4/SL SAE 10W-30 (4 X 5),2255
E0109771,SIMPSON GENUINE ENGINE OIL API CI4/SL SAE 10W-30 (1 X 50),19320
E0159751,SIMPSON SUPER-TECH ENGINE OIL API CF-4 SAE 15W-40 (1 X 26),9020
E0159752,SIMPSON SUPER-TECH ENGINE OIL API CF-4 SAE 15W-40 (2 X 10),3795
E0159753,SIMPSON SUPER-TECH ENGINE OIL API CF-4 SAE 15W-40 (2 X 8.5),3300
E0159754,SIMPSON SUPER-TECH ENGINE OIL API CF-4 SAE 15W-40 (2 X 7.5),2860
E0159755,SIMPSON SUPER-TECH ENGINE OIL API CF-4 SAE 15W-40 (20 X 1),440
E0159756,SIMPSON SUPER-TECH ENGINE OIL API CF-4 SAE 15W-40 (6 X 3.5),1375
E0159757,SIMPSON SUPER-TECH ENGINE OIL API CF-4 SAE 15W-40 (6 X 3),1235
E0159758,SIMPSON TURBO-TECH ENGINE OIL API CI-4 SAE 15W-40 (1 X 13),5445
E0159759,SIMPSON TURBO-TECH ENGINE OIL API CI-4 SAE 15W-40 (2 X 10),4235
E0159760,SIMPSON TURBO-TECH ENGINE OIL API CI-4 SAE 15W-40 (2 X 7.5),3190
E0159780,SIMPSON SUPER-TECH ENGINE OIL API CF-4 SAE 15W-40 (1 X 210),70950
E0159781,SIMPSON SUPER-TECH ENGINE OIL API CF-4 SAE 15W-40 (1 X 13),5060
E0159782,SIMPSON SUPER-TECH ENGINE OIL API CF-4 SAE 15W-40 (2 X 6),2530
E0159783,SIMPSON SUPER-TECH ENGINE OIL API CF-4 SAE 15W-40 (4 X 5),1980
E0159784,SIMPSON TURBO-TECH ENGINE OIL API CI-4 SAE 15W-40 (1 X 210),74250
E0159785,SIMPSON TURBO-TECH ENGINE OIL API CI-4 SAE 15W-40 (1 X 26),9460
E0159786,SIMPSON TURBO-TECH ENGINE OIL API CI-4 SAE 15W-40 (2 X 8.5),3630
E0159787,SIMPSON TURBO-TECH ENGINE OIL API CI-4 SAE 15W-40 (2 X 6),2640
E0159788,SIMPSON TURBO-TECH ENGINE OIL API CI-4 SAE 15W-40 (4 X 5),2145
E0159789,SIMPSON TURBO-TECH ENGINE OIL API CI-4 SAE 15W-40 (6 X 3.5),1485
E0159790,SIMPSON TURBO-TECH ENGINE OIL API CI-4 SAE 15W-40 (6 X 3),1320
E0159791,SIMPSON TURBO-TECH ENGINE OIL API CI-4 SAE 15W-40 (20 X 1),475
E0159837,SIMPSON TURBO-TECH ENGINE OIL API CI-4 SAE 15W-40 (2 X 7),2805
E0159852,SIMPSON POWER-TECH API CI4 PLUS SAE 15W-40 (1 X 15),6490
E0159853,SIMPSON POWER-TECH API CI4 PLUS SAE 15W-40 (2 X 10),4675
E0209745,SIMPSON MULTI-TECH ENGINE OIL API CF-4 SAE 20W-40 (1 X 13),5060
E0209746,SIMPSON MULTI-TECH ENGINE OIL API CF-4 SAE 20W-40 (2 X 10),3630
E0209747,SIMPSON MULTI-TECH ENGINE OIL API CF-4 SAE 20W-40 (2 X 8.5),3190
E0209748,SIMPSON MULTI-TECH ENGINE OIL API CF-4 SAE 20W-40 (2 X 7.5),2860
E0209749,SIMPSON MULTI-TECH ENGINE OIL API CF-4 SAE 20W-40 (2 X 6),2540
E0209792,SIMPSON MULTI-TECH ENGINE OIL API CF-4 SAE 20W-40 (1 X 26),9110
E0209793,SIMPSON MULTI-TECH ENGINE OIL API CF-4 SAE 20W-40 (4 X 5),1980
E0209794,SIMPSON MULTI-TECH ENGINE OIL API CF-4 SAE 20W-40 (6 X 3.5),1375
E0209795,SIMPSON MULTI-TECH ENGINE OIL API CF-4 SAE 20W-40 (6 X 3),1210
E2654408,FILTER LUB.OIL(CANISTER TYPE),219
FB000835,Fan Belt for International Belt Generator,171
FB000895,Fan Belt for International W/P,308
FB001096,Fan Belt for Massey 1035,276
FB001189,Fan Belt for Eicher Canter Mitsubishi,410
FB001195,"Fan Belt for Sonalika 730,740/ Tafe 25 DI",244
FB001240,Fan Belt for Swaraj Tractor / Escort 3036 / Zetor 5511,427
FB001270,Fan Belt for Escorts C335/Greaves Tractors/Power Tractors,259
FB001290,Fan Belt for Swaraj 855 Tractor,443
FB001320,Fan Belt for JCB EARTH MOVER,311
FB001360,Fan Belt for TAFE Tractor / MF 1035 DI,320
FB001371,Fan Belt for Ford 3000 & 3660,279
FB001400,Fan Belt for Farmtrac Tractor/Ford 3600 with Alt.,285
FF009840,SIMPSON FRONT FORK OIL (40 X .350),145
FF009841,SIMPSON FRONT FORK OIL (40 X .175),85
FRHO9663,HYDRAULIC OIL AW 68 (1 X 20)-FOC,4225
FRHO9664,HYDRAULIC OIL AW 68 (1 X 26)-FOC,5410
GJBH2KIT,GODREJ BHARAT STAGE 2 E.O.KIT S4,23011
GJOH5583,ENGINE OH KIT FOR GODREJ,25027
JNTSG002,JOINT AND GASKET MAJOR KIT FOR SJ436 ENGINE,2831
MC040508,FUEL & OIL FILTER KIT 0.5 Ltr (404+405+408),460
MC040708,FUEL & OIL FILTER KIT 0.5 Ltr COIL(404+407+408),495
MC040719,FUEL & OIL FILTER KIT 0.5 Ltr COIL(404+407+5119),352
MC080910,MF9000 FILTER KIT FOR BOSCH(OIL+DIESEL),1330
MC404405,FUEL FILTER KIT 0.5 Ltr (404 + 405),297
MC404407,FUEL FILTER KIT 0.5 Ltr COIL(404+407) BOSCH,225
MC407407,FUEL FILTER KIT 0.5 Ltr COIL(2 x 407) BOSCH,243
MC891029,OIL&DIESEL FILTER KIT (408+DE06009+10+9629),1373
MMB47501,Oil Filter Element (Equivalent Mahindra PN:006008544B91)suitable for B475 Model,242
MMB47502,3 Filter Kit(Bosch Branded 0.5 ltr cloth&Coil) &Oil Filter(Equivalent Mahindra PN:006008544B91)suitable for B475 Model,512
MMB47503,Air Filter (Equivalent Mahindra PN:006009844B91),215
MMB47504,Mahindra Filter Kit(Bosch Branded 0.5 ltr cloth&Coil) &Air Filter(Equivalent Mahindra PN:006001919A91)suitable for B475 Model,622
MWTR0773,Mahindra Water Pump,3484
NMA24KIT,S324 MAJOR KIT NHI,17401
NMA24TR3,S324 MAJOR TR III KIT,17401
NMA25KIT,S325 MAJOR KIT NHI,17708
NMA25TR3,S325 MAJOR TR III KIT,16555
NMI24KIT,S324 MINOR KIT NHI,8132
NMI25KIT,S325 MINOR KIT NHI,7390
NPNA2602,S4 CRANKSHAFT 010'' U/S.,21360
NPNAS326,S3 CRANKSHAFT - 010 U/S,11872
PCM09833,SIMPSON PCMO SAE 20W-50 API SL (6 X 3),1265
PCM09834,SIMPSON PCMO SAE 20W-50 API SL (20 X 1),400
PCM09912,SIMPSON PCMO SAE 20W-50 API SL (1X210),72380
PISSG003,PISTON ASSEMBLY FOR SJ327 ENGINE,2974
PISSG004,PISTON ASSEMBLY FOR SJ327 ENGINE,2296
PS009768,SIMPSON AGRI-TECH PSO (6 X 3.5),1235
PS009806,SIMPSON AGRI-TECH PSO (20 X 1),385
PST09842,SIMPSON POWER STEERING TRANSMISSION TQ OIL - TYPE ATF TQ (1 X 20),8490
PST09843,SIMPSON POWER STEERING TRANSMISSION TQ OIL - TYPE ATF TQ (4 X 5),2185
