PART NO,DESCRIPTION,MRP-Effective April 2022
4982882,"SEAL,DUST",25
4982883,"SEAL,INJECTOR",96
4982891,PLATE CLAMPING,135
4982894,GEAR CAMSHAFT M/C,1833
4982895,"VALVE,EXHAUST",179
4982896,"SPRING,VALVE",66
4982897,"RETAINER,VALVE SPRING",83
4982898,"COLLET,VALVE",7
4982899,"SEAL,VALVE STEM",58
4982900,"CAP,VALVE",20
4982901,CLAMP TUBE,113
4982902,CAMSHAFT,6215
4982903,CAMSHAFT M/C,2761
4982907,"VALVE,INTAKE",196
4982908,SEAT ENGINE EXHAUST VALVE,167
4982909,VALVE EXHAUST,399
4982946,"WASHER,SEALING",10
4982951,"GASKET,EXH OUT CONNECTION",125
4982953,CLIP,69
4982954,"SEAL,O RING",21
4982955,"STUD,DOUBLE END PLAIN",14
4982956,"PLUG,PIPE",46
4982959,MANIFOLD EXHAUST M/C,5036
4982960,"GASKET,TURBOCHARGER",28
4982961,"CONNECTION,EXHAUST OUTLET",548
4982962,"GASKET,OIL DRAIN",7
4982964,TUBE TUR OIL DRAIN,1015
4982965,"HOSE,PLAIN",50
4982967,"BRACKET,OIL TUBE",44
4982968,"BRACKET,OIL TUBE",37
4982978,CLIP,37
4982980,"CONNECTION,TUR EXH INLET",717
4982982,"CLAMP,TUBE",27
4982984,SPACER MOUNTING,44
4982985,"BRACKET,OIL TUBE",31
4982998,"BELT,V",533
4982999,"BELT,V",524
4983000,"BELT,V",536
4983001,"BELT,V",569
4983002,"BELT,V",603
4983003,"BELT,V",443
4983052,"PIPE,AIR TRANSFER",563
4984027,TURBOCHARGER,54724
4989315,"GEAR,FUEL PUMP",2117
4989510,RING RETAINING,7
4989843,PLUG EXPANSION,28
4989844,CYLINDER BLOCK  M/C,42955
4989846,"BLOCK,CYLINDER",77410
4989847,"PIN,ROLL",6
4989848,"PULLEY,CRANKSHAFT",1432
4989849,"PULLEY,CRANKSHAFT",2054
4989850,"PULLEY,CRANKSHAFT",2216
4989854,"PULLEY,CRANKSHAFT",1375
4989856,"NIPPLE,COUPLING",65
4989857,"SPACER,MOUNTING",44
4989858,"SPACER,MOUNTING",19
4989859,"BRACKET,FUEL PLUMBING",40
4989860,"SUPPORT,FUEL PUMP",103
4989861,"SUPPORT,FUEL PUMP",65
4989940,MANIFOLD AIR INTAKE,4453
4990844,TURBOCHARGER,70483
4990890,"PULLEY,WATER PUMP",1136
4990914,"SCREW,BANJO CONNECTOR",20
4990915,"SCREW,BANJO CONNECTOR",25
4990916,"NIPPLE,COUPLING",222
4990917,"CLAMP,HOSE",61
4990918,"HOSE,PLAIN",213
4990930,"TUBE,AIR CROSSOVER",1892
4990964,"TUBE,FUEL DRAIN",157
